_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica,Gasto E ou NE
102,24216053,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,REQUALIFICACAO DO CENTRO DE ATENDIMENTO DE ESPECIALIDADES - CENAE,,
103,24216046,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DAS ATIVIDADES DO ENSINO INFANTIL - FUNDEB 30%,,
104,24216128,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,VIGILANCIA SANITARIA,REALIZACAO DAS ACOES DE VIGILANCIA SANITARIA,,
105,24216116,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADE ADMINISTRATIVA DA CAMARA MUNICIPAL,,
106,24216108,Alvorada,"AGROPECUARIA SUSTENTAVEL, COMERCIALIZACAO E ABASTECIMENTO",AGRICULTURA,ADMINISTRACAO GERAL,MANUTENCAO DAS ATIVIDADES DA SECRETARIA MUNICIPAL DE AGRICULTURA E PECUARIA,,
107,24216109,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,URBANISMO,SERVICOS URBANOS,MANUTENCAO DA ILUMINACAO PUBLICA,,
108,24216102,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DO ENSINO INFANTIL (CRECHE),,
109,24216096,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DO ENSINO INFANTIL (CRECHE),,
110,24216099,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE EDUCACAO - FME,,
111,24216086,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,MANUTENCAO DA SECRETARIA DE ADMINISTRACAO,,
112,24216144,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,CUMPRIMENTO DE PRECATORIO E SENTENCA JUDICIAL,,
113,24216080,Alvorada,GARANTIA DOS DIREITOS DAS MULHERES,DIREITOS DA CIDADANIA,ASSISTENCIA COMUNITARIA,GESTAO DA SECRETARIA MUNICIPAL DE POLITICAS PARA MULHERES,,
114,24215899,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,CONCESSAO DE BENEFICIO EVENTUAL,,
115,24215994,Alvorada,"CULTURA, ESPORTE E LAZER",CULTURA,DIFUSAO CULTURAL,GESTAO DA SECRETARIA MUNICIPAL DE CULTURA,,
116,24215995,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,CONCESSAO DE BENEFICIO EVENTUAL,,
117,24215956,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,CONCESSAO DE BENEFICIO EVENTUAL,,
118,24215884,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,APOIO A ENTIDADES SEM FINS LUCRATIVO,,
119,24215769,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADE ADMINISTRATIVA DA CAMARA MUNICIPAL,,
120,24215786,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),,
121,24215775,Alvorada,ASSISTENCIA SOCIAL,ADMINISTRACAO,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,MANUTENCAO DO CONSELHO TUTELAR,,
